id,Nation,Month,Young people through YFC Ministry,Young people visited on a weekly basis,Young people were given the opportunity to make a decision for Jesus Christ,Young people that responded to the gospel,Local churches with active youth engagement through YFC ministry,Youth that became part of local churches through YFC ministry,Schools visited on a weekly basis,Prayer initiatives,Evangelism models used,Discipleship models used,Number of projects implemented,List of projects,Leadership Development,Training 1,Training 2,Training 3,Training 4,National Board Development,Date of Board Meeting,Sending minutes to Local Ministry Director,Fulltime staff,Full time Volunteer,Part time Volunteer,Dates of staff meetings in the past month,Number of times of staff prayers in this month,Special Project that is currently raising funds,Raising funds within your country,Project Raising funds in USA,Raising project funds in Europe,Project Raising funds elsewhere,Contribution to YFCI,Contribution to Africa,Contribution to the Regional Office,Contribution to the Pioneering,Good story of a young people’s life that has been changed
1,BURUNDI,January 2026,5114,3099,5114,140,,,15,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,
1,BURUNDI,February 2026,3406,3001,3406,307,,,17,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,
1,BURUNDI,March 2026,3126,3001,3126,45,,,18,Operation Hannah every Wednesday and first Saturday of the month,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,
2,DRC,January 2026,697,46,408,260,4,,,"Operation Hannah every Thursday, weekly prayer Operation Daniel every Saturday, YFCI prayer on the first Monday of the month",,"Bible study groups, occasional training, basic strengthening through occasional meetings, training seminar",1,Assistance to orphans,Training leadership and mentorship,Training leadership and mentorship,16/01/2026,17/01/2026,,,,,6,6,20,,4,,,,,,No,No,No,No,
2,DRC,February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DRC,March 2026,520,200,309,280,2,,,"Operation Hannah every Thursday, weekly prayer Operation Daniel every Saturday, YFCI prayer on the first Monday of the month",,"Bible study groups, occasional training, basic strengthening through occasional meetings, training seminar",1,Assistance to orphans,Training young leaders and organizing talent showcase events,Youth leadership training,03/06/2026,15/03/2026,,30/03/2026,,,6,0,6,15/03/2026,,,,,,,No,No,No,No,No
3,ETHIOPIA,January 2026,1323,831,72,51,7,2,5,YFC EA Weekly prayer and Monthly prayer virtual,"Friendship evangelism, street evangelism, Bible study","Group Discussion,Weekly Bible study",1,Connection point,"Volunteers Training, Coaching training",,,,,No,,,9,11,38,"5,12,19 and 26",4,connection point,Yes,Yes,No,No,No,No,No,No,
3,ETHIOPIA,February 2026,1312,512,53,32,13,23,8,YFC EA Weekly prayer and Monthly prayer virtual,"Friendship evangelism, street evangelism, Bible study","Group Discussion,Weekly Bible study",1,CONNECTION POINT,"Volunteers Training, Coaching training",NO,NO,NO,,No,27th/2026,No,7,11,41,"2,9,16 and 23",4,CONNECTION POINT,Yes,Yes,No,Yes,No,No,No,No,
3,ETHIOPIA,March 2026,1411,731,69,43,7,87,5,YFC EA Weekly prayer and Monthly prayer virtual,"Friendship evangelism, street evangelism, Bible study","Group Discussion,Weekly Bible study",1,Connection point,,"Volunteers Training, Coaching training",,,,,03/03/2026,No,7,11,38,"2,9,16,23 and 30",5,1,Yes,Yes,No,No,No,No,No,No,
4,KENYA,January 2026,21333,5340,16962,8159,0,0,49,"Weekly prayer and fasting,Monday prayers,
daily devotions,
 monthly day of prayers and fasting.","Plenary session in schools
Bible study and ppis in schools 
Group discussion, one on one meeting. 
community outreach 
hype and music""","Plenary-Questions and answers 
Weekly Bible study. 
Seminar 
group discussion, training
Bible, Worth the wait manual, Calvary Chapel Sunday School curriculum.",7,"Sports and clubs entertainment 
Bicycle club riding.
We practice tailoring in younger mothers 
Given out pads to Girls in Kipkaren Church.
Children program on Saturdays in Kibera 
Youth mentorship and life-skills training sessions
Counseling and encouragement sessions for youth and families","Leadership volunteers training 
Online training and worth the wait training
""Staff Training Meeting – Capacity building on teamwork, accountability, and reporting.
Peer Mentorship & Coaching Session – One-on-one and group mentoring for emerging leaders.""","Staff Training Meeting – Capacity building on teamwork, accountability, and reporting.16/1/26",Volunteers training 28/1/26,Online training and worth the wait training.23/1/26,"Peer Mentorship & Coaching Session – One-on-one and group mentoring for emerging leaders.""22/1/26",,,,38,15,117,20,12,Building School,Building School,Building School,Building School,Building School,No,No,No,No,"One young person in our community was living a life marked by deep confusion, broken relationships, and harmful habits that left them feeling empty and hopeless. Due to negative peer influence and a lack of guidance, they had slowly withdrawn from church and lost any sense of purpose for their future. Through our youth outreach, mentorship, and prayer support, this young person was lovingly reconnected to a faith-based environment. During a dedicated youth service, they encountered the message of salvation in a profound and personal way and made a sincere decision to surrender their life to Christ."
