,,BURUNDI,DRC,ETHIOPIA,KENYA,RWANDA,SOUTH SUDAN,TANZANIA,UGANDA,,,,,,,,,,,,,,,
No,Question,,,,,,,,,,,,,,,,,,,,,,,
1,How many young people have you contacted through YFC ministry? Put in brackets the number of young people you see on a weekly basis.,,,,,2495,,,,,,,,,,,,,,,,,,
1.1,Young people through YFC Ministry (Number only),5114,697,1323,"21,333",2495,16800,21500,9,,,,,,,,,,,,,,,
1.2,Number of young people you see on a weekly basis (Number only),3099,46,831,"5,340",2200,3670,5375,9,,,,,,,,,,,,,,,
1.3,How many young people were given the opportunity to make a decision for Jesus Christ? (Number only),5114,408,72,"16,962",700,13100,15720,,,,,,,,,,,,,,,,
2,How many young people responded to the gospel? (Number only),140,260,51,"8,159",33,7200,9450,,,,,,,,,,,,,,,,
3,Indicate the number of local churches with active youth engagement through your YFC ministry in your nation,,4,7,0,,6,8,1,,,,,,,,,,,,,,,
4,Indicate the number of youth that became part of local churches through your YFC ministry in your nation,,,2,0,,4,0,N/A,,,,,,,,,,,,,,,
5,How many schools did you visit on a weekly basis? (Number only),15,,5,49,20,16,19,N/A,,,,,,,,,,,,,,,
6,What is happening in your nation regarding prayer? (Give a number of prayer initiatives and list them),,"opération Anne chaque jeudi, prière hebdomadaire opération Daniel chaque samedi prière de JPC premier lundi du mois",YFC EA Weekly prayer and Monthly prayer virtual,"Weekly prayer and fasting,Monday prayers,
daily devotions,
 monthly  day of prayers and fasting. 
","We have Operation Hannah, Watchmen and Daniel among staff and volunteers","Weekly prayer, Tuesday spiritual formation, Friday Devotion and daily short devotion.","Weekly prayers on Mondays, and a monthly day of prayer and fasting.",Week of prayer and fasting,,,,,,,,,,,,,,,
5,Name the Evangelism and discipleship models your Country has used in the past month?,,,,,,,,,,,,,,,,,,,,,,,
5.1,Evangelism models used (Give number of models and list them),,,"frindship evagelism,Streat evangelism Bible study ","Plenary session in schools
Bible study and ppis  in schools 
Group discussion, one on one meeting. 
community outreach 
hype and music""","School Outreach, relationship, small group","Clubs in school, Outreaches to Refugees camp in Juba and Torit.","Schools Missions, Community outreach and engagement, Music and dance. Group discussions.",N/A,,,,,,,,,,,,,,,
5.2,Discipleship models used (Give number of models and list them),,groupes d'études biblique formation occasionnelle afermissement de base par des rencontres occasionnels seminaire de formation,"Group Discussion,Weekly Bible study ","Plenary-Questions and answers 
Weekly Bible study. 
Seminar 
group discussion, training
Bible, Worth the wait manual, Calvary Chapel Sunday School curriculum.",Bible study and trainings,"Weekly Bible studies, Bible group discussion and mentorship programs.","Mentorship and coaching programs, Bible studies and verse memorization and Youth leaders training",,,,,,,,,,,,,,,,
6,What Social Involvement projects have you done in the past month?,,,,,,,,,,,,,,,,,,,,,,,
6.1,Number of projects implemented/done (e.g: 2),,1,1,7,2,2,2,1,,,,,,,,,,,,,,,
6.2,Give a list of those projects (e.g: 1.Project of Construction of a kitchen garden for orphans; 2. Project of Distribution of 90 laying egg chicken for 30 poor families in rural areas),,Assistance aux orphelins,Connection point,"Sports and clubs entertainment 
Bicycle club riding.
We practice tailoring in younger mothers 
Given out pads to Girls in Kipkaren Church.
Children program on Saturdays in Kibera 
Youth mentorship and life-skills training sessions
Counseling and encouragement sessions for youth and families",Building of multi-purpose hall in Kigali and Rehabilitation Center in Huye,Tailoring Project and Construction of the center.,"Giving out clothes to the need, supporting vulnerable young people school supplies",Care of pregnant teenagers,,,,,,,,,,,,,,,
7,"What did you do for Leadership development? Also list other trainings e.g.: volunteer training, staff training, etc. Add dates.",,,,,,,,,,,,,,,,,,,,,,,
7.1,Leadership Development,,traning leader ship and mantors ship,"Volunteers Training, Coaching training","Leadership volunteers training 
Online training and worth the wait training
""Staff Training Meeting – Capacity building on teamwork, accountability, and reporting.
Peer Mentorship & Coaching Session – One-on-one and group mentoring for emerging leaders.""",Our senior managment Team are trained through various institutions such as Kurumbuka Leadership Solutions and high level seminars.,Contilnious training of staff and ministry team.,"Volunteer training on Leadership and self determination, Staff Training on Responsibility and accounttability, vision and mession of YFC, Behavior of a leader. ",Staff and volunteer training,,,,,,,,,,,,,,,
8,"Training lists and dates (If you had more than 3 trainings, you can insert other rows to give details)",,,,,,,,,,,,,,,,,,,,,,,
